keyword,source,active,position,delta1d,delta7d,volatility,traffic,difficulty,opportunity,bucket,relevance,scoredAt,scoringSource,formulaVersion,confidence,capturedAt,scoreComparability
geography quiz,MANUAL,true,>200,,,,100,482,67,aspirational,90,2026-09-07,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
zażółć gęślą jaźń,MANUAL,true,200,,,,100,1000,61,aspirational,70,2026-09-07,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
map game,MANUAL,true,7,0,0,,0,0,54,primary,80,2026-09-07,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
bulk keyword 065,MANUAL,true,,,,,,,,,70,,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
bulk keyword 002,MANUAL,true,8,,,,,,,,70,,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
bulk keyword 003,MANUAL,true,15,,,,,,,,70,,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
bulk keyword 004,MANUAL,true,22,,,,,,,,70,,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
bulk keyword 005,MANUAL,true,29,,,,,,,,70,,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
bulk keyword 006,MANUAL,true,36,,,,,,,,70,,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
bulk keyword 007,MANUAL,true,43,,,,,,,,70,,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
bulk keyword 008,MANUAL,true,50,,,,,,,,70,,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
bulk keyword 009,MANUAL,true,57,,,,,,,,70,,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
bulk keyword 010,MANUAL,true,64,,,,,,,,70,,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
bulk keyword 011,MANUAL,true,71,,,,,,,,70,,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
bulk keyword 012,MANUAL,true,78,,,,,,,,70,,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
bulk keyword 013,MANUAL,true,85,,,,,,,,70,,,,,,Apple App Store and Google Play traffic and volume scores use different public signals and are not directly comparable
